Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Luxemburg;Wind;103157.8377;115539.0337;117047.1205;123934.1427;130821.165;137708.1872;143843.6047;149979.0222;156114.4397;162249.8571;168385.2746;172788.4528;177191.6309;181594.8091;185997.9873;190401.1654;194804.3436;199207.5217;203610.6999;208013.878;212417.0562
Niederlande;Biomass;8010102.142;8246197.562;8761735.828;9277274.094;9792812.361;10308350.63;10767626.4;11226902.18;11686177.96;12145453.73;12604729.51;12934335.94;13263942.37;13593548.81;13923155.24;14252761.67;14582368.1;14911974.54;15241580.97;15571187.4;15900793.83
Niederlande;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niederlande;Hydro;270614.9591;303094.6712;306912.9337;324971.6113;343030.2888;361088.9663;377176.8373;393264.7083;409352.5793;425440.4504;441528.3214;453074.0332;464619.7451;476165.4569;487711.1688;499256.8806;510802.5925;522348.3043;533894.0162;545439.7281;556985.4399
Niederlande;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niederlande;Solar;1748513.804;1958373.692;2184848.283;2429074.4;2692261.007;2975693.589;3263685.523;3573037.415;3905165.284;4261573.345;4643859.299;5003558.229;5387617.403;5797573.599;6235056.37;6701793.486;7199616.671;7730467.692;8296404.773;8899609.393;9542393.463
Niederlande;Wind;31103081.99;32186890.59;34199160.32;36211430.05;38223699.79;40235969.52;42028633.24;43821296.95;45613960.67;47406624.38;49199288.1;50485821.21;51772354.31;53058887.42;54345420.53;55631953.64;56918486.75;58205019.86;59491552.96;60778086.07;62064619.18
Norwegen;Biomass;30299.33775;33935.92076;37860.41374;42092.51621;46653.17789;51564.67445;56555.17829;61915.82083;67671.13967;73847.20085;80471.6903;86704.77769;93359.9946;100463.9712;108044.9456;116132.8574;124759.4481;133958.3656;132679.0933;135548.3417;138417.5902
Norwegen;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Norwegen;Hydro;57927796.92;59831919.75;63572509.75;67313099.76;71053689.76;74794279.76;78126646.13;81459012.49;84791378.86;88123745.22;91456111.59;93847636.35;96239161.1;98630685.86;101022210.6;103413735.4;105805260.1;108196784.9;110588309.6;112979834.4;115371359.2
Norwegen;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Norwegen;Solar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Norwegen;Wind;1719108.191;1797976.239;1910382.66;2022789.081;2135195.501;2247601.922;2347741.038;2447880.154;2548019.27;2648158.386;2748297.502;2820163.902;2892030.302;2963896.702;3035763.102;3107629.502;3179495.903;3251362.303;3323228.703;3395095.103;3466961.503
Portugal;Biomass;0;0;0;0;0;340970.1574;373969.7428;409416.8614;447473.7675;488312.8221;532117.0976;573333.2366;617340.6968;664315.5698;714444.5784;767925.699;824968.8202;885796.4392;950644.3981;1019762.662;1093416.141
Portugal;Geothermal;0;0;0;0;0;20556.96097;22546.49341;24683.5867;26978.02307;29440.19412;32081.13722;34566.04255;37219.23557;40051.33278;43073.59162;46297.94802;49737.05608;53404.33007;57313.98882;61481.10262;65921.64283
Portugal;Hydro;0;0;0;0;0;1189406.695;1304519.196;1428169.432;1560923.392;1703382.325;1856184.844;1999959.161;2153470.448;2317332.966;2492198.059;2678756.33;2877739.932;3089925.004;3316134.233;3557239.572;3814165.11
Portugal;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Portugal;Solar;0;0;0;0;0;100215.3923;109914.3831;120332.7344;131518.1349;143521.2437;156395.8679;168509.8065;181444.1492;195250.6518;209984.1941;225702.9641;242468.6507;260346.6484;279406.2743;299720.9962;321368.6745
Portugal;Wind;0;0;0;0;0;1313664.414;1440802.757;1577370.774;1723993.586;1881335.252;2050101.101;2208895.57;2378444.233;2559425.523;2752558.832;2958606.908;3178378.395;3412730.512;3662571.896;3928865.592;4212632.227
Serbien;Biomass;15636.43535;17513.14948;19538.44393;21722.48496;24076.08398;26610.73668;29186.1623;31952.60364;34922.72371;38109.97428;41528.64309;44745.3229;48179.84908;51845.96458;55758.242;59932.13226;64384.01593;69131.25764;74192.26349;79586.54177;85334.76722
Serbien;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Serbien;Hydro;0;0;0;0;0;1804618.693;1979272.302;2166879.726;2368299.712;2584444.496;2816283.01;3034423.552;3267337.44;3515956.659;3781269.455;4064323.64;4366230.069;4688166.333;5031380.647;5397195.977;5787014.388
Serbien;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Serbien;Solar;567.8282962;635.9801071;709.5275284;788.8397416;874.3093573;966.3538352;1059.878958;1160.340709;1268.198938;1383.942137;1508.089159;1624.901065;1749.623939;1882.756848;2024.828987;2176.401448;2338.069083;2510.462478;2694.25004;2890.140201;3098.883754
Serbien;Wind;0;0;0;0;0;64315.3767;70539.91196;77226.11231;84404.58291;92107.83529;100370.4015;108144.7813;116445.673;125306.292;134761.8588;144849.7164;155609.4552;167083.0436;179314.9671;192352.3755;206245.2372
Slowakei;Biomass;0;0;0;0;0;159589.4236;175034.719;191625.5705;209437.9202;228552.4411;249054.8192;268345.8325;288943.3102;310929.671;334392.3097;359423.888;386122.6434;414592.7146;444944.4863;477294.9534;511768.106
Slowakei;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Slowakei;Hydro;0;0;0;0;0;1055583.843;1157744.776;1267482.842;1385300.352;1511730.907;1647341.267;1774939.209;1911178.592;2056604.565;2211795.189;2377363.365;2553958.869;2742270.516;2943028.431;3157006.46;3385024.722
Slowakei;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Slowakei;Solar;0;0;0;0;0;110218.782;120885.9153;132344.2149;144646.1297;157847.3755;172007.1305;185330.2691;199555.7036;214740.3559;230944.5842;248232.3845;266671.6033;286334.163;307296.2997;329638.8146;353447.3403
Slowakei;Wind;0;0;0;0;0;454.6779566;498.6823475;545.9504825;596.6987252;651.156916;709.569179;764.5302055;823.2134117;885.853613;952.6998009;1024.015974;1100.082014;1181.194619;1267.668278;1359.836318;1458.05199
