Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Litauen;Other RES;0;0;0;0;0;1132.840374;1486.85299;1873.434768;2294.957591;2753.949109;3253.102385;4383.555464;5618.921094;6966.8644;8435.554732;10033.69694;11770.56448;13656.03453;15700.62517;17915.53479;20312.68382
Litauen;Solar;0;0;0;0;0;4548.358003;5090.217471;5674.891992;6305.308421;6984.579263;7716.013918;8475.713954;9292.093959;10168.92268;11110.20404;12120.19122;13203.40162;14364.63258;15608.97813;16941.84665;18368.97958
Litauen;Wind;6559.994849;7456.883306;8427.060622;9475.613462;10607.95393;11829.83942;13239.16351;14759.84541;16399.49759;18166.21538;20068.6062;22044.51254;24167.83801;26448.38474;28896.56654;31523.44557;34340.77108;37361.02053;40597.443;44064.10516;47775.93993
Luxemburg;Biomass;15992.91992;18179.48647;20544.72737;23101.04365;25861.62973;28840.52182;32276.37929;35983.7212;39981.10636;44288.27073;48926.19877;53743.35377;58919.90876;64479.76088;70448.29843;76852.49033;83720.98068;91084.18884;98974.41536;107425.9541;116475.2106
Luxemburg;Geothermal;0;0;0;0;0;543.8814549;620.0248586;702.422899;791.5106813;887.7511846;991.6369615;1124.516314;1268.20451;1423.450235;1591.05002;1771.851159;1966.754786;2176.719149;2402.76306;2645.969565;2907.489813
Luxemburg;Hydro;43248.22202;49161.15824;55557.26753;62470.08485;69935.29073;77990.84199;87282.12385;97307.55679;108117.3277;119764.8068;132306.7406;145333.3417;159331.8361;174366.8466;190507.0285;207825.3115;226399.1552;246310.8201;267647.6535;290502.3932;314973.4878
Luxemburg;Other RES;0;0;0;0;0;621.5788056;815.8221823;1027.93595;1259.221538;1511.065846;1784.946531;2405.21545;3083.048895;3822.652646;4628.50915;5505.394672;6458.397474;7492.93707;8614.784631;9830.084606;11145.37762
Luxemburg;Solar;891.4506947;1013.330644;1145.169961;1287.659884;1441.535873;1607.580313;1799.096155;2005.744631;2228.560214;2468.642993;2727.16265;2995.672478;3284.215381;3594.123394;3926.811669;4283.783463;4666.635408;5077.063088;5516.866948;5987.958537;6492.367117
Luxemburg;Wind;104946.1432;119294.4752;122418.0301;131095.3556;139772.681;148450.0065;158224.0943;167998.182;177772.2698;187546.3576;197320.4454;206426.7984;215533.1515;224639.5046;233745.8577;242852.2107;251958.5638;261064.9169;270171.2699;279277.623;288383.9761
Niederlande;Biomass;8148962.26;8514229.166;9163783.235;9813337.303;10462891.37;11112445.44;11844099.28;12575753.12;13307406.96;14039060.8;14770714.64;15452384.2;16134053.77;16815723.34;17497392.91;18179062.47;18860732.04;19542401.61;20224071.17;20905740.74;21587410.31
